head,tail,relation,edge_direction,evidence_count,mean_confidence,max_confidence,edge_score,evidence
Adolphine,Sigiswald,romantic,undirected,12,0.9780326133333334,0.99501365,2.508604123145761,"Infobox field family/Spouse: Nahelache (First Wife, Former Second Wife) Adolphine (First Wife, Former) Rozemyne (Engaged, Cancelled) | With Eglantine now removed from his consideration for a first wife, Sigiswald gets engaged with Adolphine of Drewanchel. | Infobox field family/Spouse: Prince Sigiswald (Former)"
Justus,Rihyarda,family,undirected,9,0.9793094488888888,0.99460983,2.25494333843977,"He bears a strong resemblance to his mother, Rihyarda, and his sister, Gudrun. | At some point, Rihyarda started a family and had two children: her son, Justus, and her daughter, Gudrun. | His mother is Rihyarda, Rozemyne's former head attendant in the castle."
Lieseleta,Thorsten,romantic,undirected,7,0.97958336,0.99418336,2.0369863323223134,"Infobox field family/Spouse: Lieseleta (Engaged, Cancelled) | Infobox field family/Spouse: Unnamed Man (Engaged) Thorsten (Engaged, Cancelled) Uderick (Engaged, Cancelled) | Lieseleta's family being faction neutral, despite the budding connections they have with both Rozemyne and Bonifatius, and her having archnoble levels of mana, makes her attractive enough of a match for Thorsten, the family is willing to marry their son down into the mednoble family, while such a match would grant Lieseleta's family a future husband who fulfills all their wishes, except being an attendant."
Georgine,Veronica,family,undirected,7,0.9721533299999999,0.99178517,2.021536019284386,"She is the mother of Georgine, Constanze and Sylvester. | When her parents made it clear to Georgine, that she would never become the Aub and they expected her only to support her brother, Georgine once again tried to educate the boy and turn him into a worthy successor, but since she considered the brutal methods that Veronica used on her as normal, this was perceived as bullying by Sylvester and many of the duchy's nobles. | Veronica's second child Constanze was born a girl and the mother didn't even make an attempt to hide her disappointment of having only another girl and neglected her almost entirely."
Magdalena,Raublut,enemy_rival,undirected,6,0.9871245716666667,0.9974667,1.9208557223880456,"In the confrontation with their enemy, Magdalena and Werdekraf attack Raublut together. | This makes Raublut consider her the lesser threat, and concentrate primarily on Aub Dunkelfelger and his silver sword, and using his cloak to defend against Magdalena's attacks. | After the first seeming intruder is captured and identified as a member of the Sovereign Knight's Order and news about fight all over the palace come in, it is Magdalena who deduces that the only person who had the means for such an extensive infiltration is Raublut."
Oswald,Wilfried,service_retainer,directed,6,0.9863573183333334,0.99731356,1.919362716339816,"Oswald (オズヴァルト, Ozuvaruto) is an archnoble of Ehrenfest and formerly Wilfried's head attendant. | Two days after returning with his lord from his third year at the Royal Academy, Oswald resigns from his position as Wilfried's head-attendant and retainer, stating that he could not risk creating an opening for the Leisegangs to exploit against Wilfried. | Infobox field occupation: Attendant Wilfried's Head Attendant (Former)"
Gieselfried,Letizia,family,undirected,6,0.9815854399999999,0.99323624,1.910077069860925,"Infobox field family/Father: Drewanchel Archducal Family Member (Biological) Gieselfried (Adoptive, Deceased) | Infobox field family/Mother: Daughter of Gieselfried (Biological) Gieselfried's First Wife (Adoptive, Deceased) | Infobox field family/Relatives: Letizia (Granddaughter, Biological) Benedikta (Granddaughter) Aurelia (Niece) Martina (Niece) Lamprecht (Nephew, In-Law)"
Martina,Detlinde,service_retainer,directed,6,0.98126573,0.99944,1.9094549429271706,"Martina (マルティナ, Marutina) was an apprentice Ahrensbach archattendant serving Detlinde. | Infobox field occupation: Prisoner Apprentice Attendant of Detlinde (Former) | Despite originally planning to become a scholar and serve Lord Wolfram upon entering the Royal Academy, when Georgine offered to make Martina an attendant of her daughter Detlinde, Martina accepted and dedicated herself to this new role."
Adolphine,Ortwin,family,undirected,6,0.9764385866666667,0.98556095,1.9000617557238928,"Adolphine grew up closest to her younger brother Ortwin, since they shared the same mother. | Infobox field family/Sister: Adolphine | He is the younger brother of Adolphine."
Konrad,Philine,family,undirected,6,0.9735487783333334,0.98800397,1.894438448359235,"Konrad was born in the city of Ehrenfest as the laynoble son of Kashick and his wife Theresia, and is the younger brother of Philine. | Shortly after her little brother Konrad was born, their mother passed away. | After their mother died, their father remarried to Jonsara, a harsh-tempered woman who treated both Konrad and Philine coldly."
Lieseleta,Rozemyne,service_retainer,directed,5,0.992892868,0.9991866,1.7790251981680012,"Lieseleta (リーゼレータ, Riizereeta) is an adult mednoble attendant who serves as one of Rozemyne's retainers. | Infobox field occupation: Aub Alexandria's Head Attendant Rozemyne's Retainer Attendant | For Lady Rozemyne's fourth' year at the Royal Academy, Lieseleta is chosen to accompany her as her adult retainer, with Ottilie staying behind to help contain Clarissa and prepare for her lady's move to the Sovereignty come spring."
Lestilaut,Reginald,family,undirected,5,0.9905996439999999,0.9946779,1.77491629235094,Infobox field family/Relatives: Hildebrand (Cousin) Rasantark (Cousin) Kenntrips (Cousin) Codenest (Cousin) Reginald (Cousin) | Infobox field family/Relatives: Lestilaut (Cousin) Hannelore (Cousin) Hildebrand (Cousin) Raufereg (Cousin) Lungtase (Cousin) | He is the half-brother of Rasantark and Reginald. *Wingert - An adult archscholar.
Cornelius,Elvira,family,undirected,5,0.9866419260000001,0.99491864,1.7678250136479061,"As one of Rozemyne's older brothers, he is the third son of Karstedt and Elvira, the younger brother of Eckhart and Lamprecht. | She is the first wife of Karstedt and the mother of Eckhart, Lamprecht, and Cornelius. | His angled eyes resemble those of his mother, Elvira."
