head,tail,context,section,source_type,weak_label,weak_label_source,label,pair_id,candidate_id,text_basic,text_marked,llm_judge_raw_response,llm_judge_parse_status,llm_judge_model
Georgine,Sylvester,"She is the mother of Detlinde, Sylvester's older sister and a former archduke candidate of Ehrenfest.",lead,prose,family,"keyword:\bmother\b,\bsister\b",family,Georgine || Sylvester,cand_000000,"She is the mother of Detlinde, Sylvester's older sister and a former archduke candidate of Ehrenfest.","section=lead source=prose [HEAD] Georgine [/HEAD] She is the mother of Detlinde, [TAIL] Sylvester [/TAIL]'s older sister and a former archduke candidate of Ehrenfest.",family,parsed,google/gemma-2-2b-it
Magdalena,Werdekraf,"She also often trained with her brother Werdekraf before she moved to live at the Royal Palace, following her marriage.",History,prose,romantic,keyword:\bmarriage\b,romantic,Magdalena || Werdekraf,cand_000001,"She also often trained with her brother Werdekraf before she moved to live at the Royal Palace, following her marriage.","section=History source=prose [HEAD] Magdalena [/HEAD] She also often trained with her brother [TAIL] Werdekraf [/TAIL] before she moved to live at the Royal Palace, following her marriage.",romantic,parsed,google/gemma-2-2b-it
Arno,Ferdinand,"Ferdinand, displeased at Arno's actions, had Arno killed.",Part 2,prose,enemy_rival,keyword:\bkill(?:ed|s)?\b,enemy_rival,Arno || Ferdinand,cand_000002,"Ferdinand, displeased at Arno's actions, had Arno killed.","section=Part 2 source=prose [TAIL] Ferdinand [/TAIL], displeased at [HEAD] Arno [/HEAD]'s actions, had Arno killed.",enemy_rival,parsed,google/gemma-2-2b-it
Magdalena,Hildebrand,The boy is Hildebrand and was raised to become a vassal to whichever of his two older brothers would win the position of successor.,History,prose,no_relation,keyword:none,no_relation,Magdalena || Hildebrand,cand_000003,The boy is Hildebrand and was raised to become a vassal to whichever of his two older brothers would win the position of successor.,section=History source=prose [HEAD] Magdalena [/HEAD] The boy is [TAIL] Hildebrand [/TAIL] and was raised to become a vassal to whichever of his two older brothers would win the position of successor.,no_relation,parsed,google/gemma-2-2b-it
Wilfried,Veronica,Upon Veronica's imprisonment Wilfried was told that his grandmother had fallen ill and had been moved to a far away place to recover.,History,prose,family,keyword:\bgrandmother\b,family,Wilfried || Veronica,cand_000004,Upon Veronica's imprisonment Wilfried was told that his grandmother had fallen ill and had been moved to a far away place to recover.,section=History source=prose Upon [TAIL] Veronica [/TAIL]'s imprisonment [HEAD] Wilfried [/HEAD] was told that his grandmother had fallen ill and had been moved to a far away place to recover.,family,parsed,google/gemma-2-2b-it
Lasfam,Ferdinand,"When Ferdinand personally asked him to do as the others did so Lasfam wouldn't have to suffer so much, Lasfam refused, stating that doing so would only prove the mockery of him being a failure as an attendant true.",History,prose,service_retainer,keyword:\battendant\b,no_relation,Lasfam || Ferdinand,cand_000005,"When Ferdinand personally asked him to do as the others did so Lasfam wouldn't have to suffer so much, Lasfam refused, stating that doing so would only prove the mockery of him being a failure as an attendant true.","section=History source=prose When [TAIL] Ferdinand [/TAIL] personally asked him to do as the others did so [HEAD] Lasfam [/HEAD] wouldn't have to suffer so much, Lasfam refused, stating that doing so would only prove the mockery of him being a failure as an attendant true.",no_relation,parsed,google/gemma-2-2b-it
Eckhart,Lamprecht,"Despite despising Veroncia as well, his father still didn't want this to come to pass and when he learned of Eckhart's plans intervened by keeping him busy with paperwork for the knight's order and training of new recruits, while restricting him to their estate in his free time, thus the offer went to Lamprecht who took up the position to protect their family.",History,prose,family,keyword:\bfather\b,family,Eckhart || Lamprecht,cand_000006,"Despite despising Veroncia as well, his father still didn't want this to come to pass and when he learned of Eckhart's plans intervened by keeping him busy with paperwork for the knight's order and training of new recruits, while restricting him to their estate in his free time, thus the offer went to Lamprecht who took up the position to protect their family.","section=History source=prose Despite despising Veroncia as well, his father still didn't want this to come to pass and when he learned of [HEAD] Eckhart [/HEAD]'s plans intervened by keeping him busy with paperwork for the knight's order and training of new recruits, while restricting him to their estate in his free time, thus the offer went to [TAIL] Lamprecht [/TAIL] who took up the position to protect their family.",family,parsed,google/gemma-2-2b-it
Lungtase,Raufereg,"Her less well behaved brother Raufereg has to stay home, since his parents don't want to risk embarrassing themselves and by extension their duchy by having the boy behave inappropriately for someone of his status, in front of the new ruler and the all country's archducal families.",Part 5 Volume 11,prose,family,"keyword:\bparents\b,\bbrother\b",family,Lungtase || Raufereg,cand_000007,"Her less well behaved brother Raufereg has to stay home, since his parents don't want to risk embarrassing themselves and by extension their duchy by having the boy behave inappropriately for someone of his status, in front of the new ruler and the all country's archducal families.","section=Part 5 Volume 11 source=prose [HEAD] Lungtase [/HEAD] Her less well behaved brother [TAIL] Raufereg [/TAIL] has to stay home, since his parents don't want to risk embarrassing themselves and by extension their duchy by having the boy behave inappropriately for someone of his status, in front of the new ruler and the all country's archducal families.",family,parsed,google/gemma-2-2b-it
Gloria,Rozemyne,"When Rozemyne enters noble society, Gloria holds her in contempt and often slanders her reputation at tea parties and social gatherings.",Part 3 Volume 4,prose,no_relation,keyword:none,enemy_rival,Gloria || Rozemyne,cand_000008,"When Rozemyne enters noble society, Gloria holds her in contempt and often slanders her reputation at tea parties and social gatherings.","section=Part 3 Volume 4 source=prose When [TAIL] Rozemyne [/TAIL] enters noble society, [HEAD] Gloria [/HEAD] holds her in contempt and often slanders her reputation at tea parties and social gatherings.",enemy_rival,parsed,google/gemma-2-2b-it
Georgine,Veronica,"While Veronica was frozen in terror, one of her attendants had immediately sprung into action and administered an antidote.",History,prose,service_retainer,keyword:\battendants\b,no_relation,Georgine || Veronica,cand_000009,"While Veronica was frozen in terror, one of her attendants had immediately sprung into action and administered an antidote.","section=History source=prose [HEAD] Georgine [/HEAD] While [TAIL] Veronica [/TAIL] was frozen in terror, one of her attendants had immediately sprung into action and administered an antidote.",no_relation,parsed,google/gemma-2-2b-it
